device_id,id,name,coordinates,precise
OH160248,154,"Unverified location, Columbus, OH ","[-81.69008058452847, 41.496900079114916]",0
OH160248,155,"Port of Long Beach, CA ","[-118.2164027066185, 33.75403604662242]",0
OH160248,156,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
OH160248,157,"Hong Kong, New Territories ","[113.987396, 22.441442]",1
Geo-Force3039211,158,E-Tech Management,"[-82.89519603224198, 39.933038225162086]",1
Geo-Force3039211,159,"Hong Kong, New Territories ","[114.13932, 22.52876]",1
OH154449,160,E-Tech Management,"[-82.89519603224198, 39.933038225162086]",1
OH154449,161,"Canada, Unknown warehouse in Toronto ","[-79.26873, 43.83054]",1
OH154449,162,"GEEP, Barrie, Ontario. Found our tracker and sent it back to us.","[-79.70664943492216, 44.37694703889162]",1
OH356309,163,"e-Waste, LLC","[-81.45196918006177, 41.2054421337725]",1
OH356309,164,"Unverified location, Cleveland, OH ","[-81.68939393902588, 41.496385785386146]",0
OH356309,165,"Unverified location, likely in transit through Atlanta, GA ","[-84.39130649836557, 33.78780466957004]",0
OH356309,166,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
OH356309,167,"Hong Kong, New Territories ","[114.110072, 22.484294]",1
CA543948,168,"EWC Group Recyclers (eWaste Center), Los Angeles, California","[-118.29210423251484, 34.0555174731558]",1
CA543948,169,"Port of Long Beach, CA ","[-118.2164027066185, 33.75403604662242]",0
CA543948,170,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
CA543948,171,"Hong Kong, New Territories ","[113.989428, 22.471585]",1
CA543948,172,"Hong Kong, New Territories ","[113.992414, 22.457417]",1
CA551412,173,EZPC,"[-117.90344667485614, 33.74834075677473]",1
CA551412,174,"Unknown warehouse at 2370 E Artesia Blvd, Long Beach, CA ","[-118.1647751613587, 33.87430098097361]",1
CA551412,175,"Port of Long Beach, CA ","[-118.2164027066185, 33.75403604662242]",0
CA551412,176,"Hong Kong, Port of Hong Kong ","[114.133333, 22.333333]",0
CA551412,177,"Hong Kong, New Territories ","[113.989588, 22.471612]",1
CA551412,178,"Hong Kong, Unverified location ","[114.1694, 22.3193]",0
CA551412,179,"China, Foshan, Guangdong ","[113.107867, 23.150815]",1
CA551412,180,"China, Guiyu area, Unverified area","[116.35186285034011, 23.317118673866133]",0
OR350062,181,Far West Recycling,"[-122.53192354543962, 45.557886034463884]",1
OR350062,182,"Unverified location, Vancouver, WA ","[-122.67238145165659, 45.62469518188771]",0
OR350062,183,Golden Valley Trading ,"[-117.690472, 34.001151]",1
