id,device_id,company_name,location,final_location,initial_coords,final_coords,company_position,device_type,certification
15,CA542981,"Blue Star Electronics, LLC (Hayward Ewaste)","Hayward, CA","Hong Kong, New Territories","[-118.27227387561584, 33.89367947808764]","[114.016853, 22.429514]",Intermediate,LCD,None
16,CA540894,"Blue Star Electronics, LLC (Hayward Ewaste)","Hayward, CA","Hong Kong, New Territories","[-122.054587, 37.620382]","[114.016853, 22.429514]",First,LCD,None
17,CA530101,Cal Micro Recycling,"Ontario, CA","Hong Kong, New Territories","[-117.680484, 34.061649]","[114.155034, 22.511]",First,Printer,R2
18,CA544961,"Cal State Electronic Recycling (CSER, Inc.)","San Marcos, CA","Thailand, Bangkok area","[-117.20229057488113, 33.15989915512284]","[101.24776639531811, 13.203325658718075]",First and Last,LCD,None
19,CA552287,"Cal State Electronic Recycling (CSER, Inc.)","San Marcos, CA","Hong Kong, New Territories","[-118.17193900780762, 33.90591527645441]","[114.020101, 22.455844]",Intermediate,LCD,None
20,IL162640,Chicago Surplus Computer (CSC),"Chicago, IL","Pakistan, Faisalabad","[-88.02316404563412, 41.91149880787909]","[73.10027179447447, 31.43342649804699]",First,CRT,None
21,IL163424,Chicago Surplus Computer (CSC),"Chicago, IL","United Arab Emirates, Dubai","[-88.02316404563412, 41.91149880787909]","[55.267246979062115, 25.196253004161264]",First,LCD,None
22,IL616231,Chicago Surplus Computer (CSC),"Chicago, IL","Pakistan, Faisalabad","[-88.02316404563412, 41.91149880787909]","[73.077023, 31.417952]",First and Last,CRT,None
23,IL616371,Chicago Surplus Computer (CSC),"Chicago, IL","Hong Kong, New Territories","[-88.02316404563412, 41.91149880787909]","[114.166338, 22.528651]",First and Last,LCD,None
24,MA353454,CRT Recycling,"Brockton, MA","Pakistan, Samundri","[-71.01570121785039, 42.094003965195554]","[72.973192, 31.057368]",First and Last,CRT,R2
25,MA616041,Earthworm Recycling,"Somerville, MA","Hong Kong, New Territories","[-71.08101885910216, 42.37685645102985]","[113.981578, 22.453373]",First,Printer,None
26,OR356028,Ecobinary LLC,"Beaverton, OR","Hong Kong, New Territories","[-122.79801104359764, 45.37786787846321]","[114.074766, 22.485588]",First,LCD,None
27,NY615597,ecoTech Management,"Holbrook, NY","Hong Kong, New Territories","[-73.79838840328851, 42.251235954251555]","[113.965548, 22.447177]",Intermediate,Printer,R2
28,IL163523,ECR World,"Chino, CA","Hong Kong, New Territories","[-87.89594854561076, 42.36255066366812]","[114.002787, 22.436384]",Last,LCD,R2
29,CA356242,Electronics Recycling Services INC dba Green E-Waste Recycling Center,"San Jose, CA","Hong Kong, New Territories","[-121.8835324323347, 37.4109175282768]","[114.05527, 22.48053]",First and Last,LCD,None
30,CA552287,e-Recycling of California,"Irvine, CA","Hong Kong, New Territories","[-118.17193900780762, 33.90591527645441]","[114.020101, 22.455844]",First,LCD,e-Stewards
31,NJ616173,eRevival LLC,"Garfield, NJ","Hong Kong, New Territories","[-74.16453779313935, 40.934937869267486]","[114.039361, 22.424206]",First and Last,CRT,R2
32,OH160248,E-Scrap Solutions,"Cleveland, OH","Hong Kong, New Territories","[ -81.63720224565351, 41.533303902571625]","[113.987396, 22.441442]",First,LCD,R2
